"veh_value","exposure","veh_body","veh_age","gender","area","agecat"
1.1,0.8569472964,"SEDAN","3","F","C","3"
0.48,0.5667351129,"SEDAN","4","F","E","6"
2.18,0.6652977413,"MIBUS","3","M","B","4"
2.7,0.0219028063,"TRUCK","3","M","F","3"
1.3,0.2819986311,"SEDAN","3","M","B","6"
2.26,0.4271047228,"SEDAN","2","M","A","2"
2.12,0.6926762491,"HBACK","1","F","A","4"
1.29,0.0602327173,"HBACK","3","F","B","1"
1.84,0.1916495551,"HBACK","2","F","A","4"
1.17,0.720054757,"HBACK","2","F","C","6"
1.97,0.5557837098,"STNWG","4","F","F","3"
0.76,0.6132785763,"HBACK","3","F","D","3"
1.23,0.7857631759,"HBACK","2","F","C","2"
2.12,0.810403833,"STNWG","4","M","E","4"
1.51,0.0164271047,"SEDAN","4","F","A","2"
13.9,0.2299794661,"SEDAN","2","F","C","5"
1.64,0.1861738535,"STNWG","4","M","A","2"
2.82,0.887063655,"STNWG","1","M","C","3"
0.41,0.3148528405,"HBACK","4","M","C","5"
0.93,0.8514715948,"HBACK","3","M","A","2"
1.27,0.8021902806,"SEDAN","4","F","E","4"
3.43,0.1806981519,"STNWG","2","F","B","3"
2.65,0.8377823409,"STNWG","3","F","A","3"
2.52,0.4736481862,"STNWG","3","F","D","1"
1.87,0.5092402464,"UTE","3","F","F","1"
0.37,0.5338809035,"SEDAN","4","F","A","6"
1.23,0.5557837098,"HBACK","2","F","C","3"
3.27,0.9691991786,"TRUCK","3","M","E","4"
3.21,0.6160164271,"STNWG","1","M","B","4"
1.45,0.6269678302,"SEDAN","3","M","B","5"
0.85,0.0739219713,"HBACK","3","F","D","5"
2.7,0.9144421629,"STNWG","3","M","A","5"
1.16,0.1396303901,"SEDAN","4","F","A","4"
0.72,0.2683093771,"SEDAN","4","F","B","2"
0.76,0.8240930869,"STNWG","4","F","D","2"
1.16,0.5475701574,"STNWG","4","F","C","4"
2.73,0.0438056126,"SEDAN","1","F","E","2"
1.65,0.6680355921,"PANVN","2","M","A","4"
1.24,0.8761122519,"UTE","4","M","D","4"
2.32,0.6269678302,"STNWG","3","F","C","3"
1.76,0.7118412046,"SEDAN","2","M","D","4"
3.1,0.0410677618,"STNWG","1","F","C","4"
1.11,0.9445585216,"UTE","4","F","E","3"
0.9,0.4052019165,"SEDAN","3","M","A","5"
2.77,0.0164271047,"STNWG","3","M","C","4"
2.3,0.0465434634,"STNWG","3","F","C","4"
0.54,0.0574948665,"SEDAN","4","F","C","4"
1.41,0.7282683094,"STNWG","4","F","D","3"
0.53,0.4736481862,"HBACK","4","F","C","2"
1.36,0.0328542094,"HBACK","2","M","B","6"
0.83,0.3148528405,"HBACK","3","F","A","3"
0.36,0.7693360712,"SEDAN","4","M","B","6"
3.59,0.8980150582,"STNWG","2","F","F","2"
2.4,0.6379192334,"UTE","3","M","A","2"
4.5,0.9664613279,"STNWG","1","M","E","5"
1.07,0.8049281314,"SEDAN","3","M","C","6"
1.26,0.3367556468,"UTE","4","F","A","4"
1.46,0.5557837098,"HBACK","3","M","A","5"
2.199,0.4271047228,"SEDAN","1","F","C","1"
3.81,0.8761122519,"UTE","1","M","D","3"
1.66,0.8761122519,"HDTOP","3","F","A","1"
1.1,0.1998631075,"HBACK","2","F","B","2"
0.9,0.5229295003,"HBACK","3","F","B","6"
3.97,0.7036276523,"STNWG","2","F","C","3"
0.65,0.7967145791,"STNWG","4","M","D","1"
0.93,0.4407939767,"HBACK","4","M","B","4"
1.3,0.295687885,"SEDAN","3","F","B","4"
2.01,0.462696783,"HBACK","1","M","C","4"
0.85,0.9418206708,"COUPE","4","F","C","5"
3.11,0.4024640657,"STNWG","2","F","E","3"
0.31,0.6214921287,"HBACK","4","M","B","5"
5.499,0.7501711157,"STNWG","1","M","D","3"
0.86,0.0273785079,"SEDAN","4","F","F","3"
1.3,0.7255304586,"HBACK","2","M","B","5"
1.03,0.4407939767,"SEDAN","3","F","C","6"
1.91,0.9582477755,"SEDAN","2","F","D","3"
2.05,0.2737850787,"UTE","3","M","D","4"
0.53,0.2299794661,"HBACK","4","F","C","3"
1.96,0.8213552361,"HBACK","3","F","E","1"
0.88,0.6351813826,"STNWG","4","M","B","2"
1.71,0.4380561259,"SEDAN","2","F","C","2"
1.43,0.167008898,"SEDAN","2","F","C","2"
1.87,0.1396303901,"HBACK","3","F","B","3"
1.57,0.5776865161,"HBACK","1","F","C","6"
4.06,0.8514715948,"STNWG","2","M","F","3"
1.18,0.5585215606,"STNWG","4","M","D","2"
1.07,0.6844626968,"SEDAN","3","M","C","4"
1.96,0.6735112936,"HBACK","1","F","D","6"
1.35,0.0876112252,"HBACK","3","M","C","6"
3.68,0.1834360027,"STNWG","2","F","C","3"
1.73,0.2108145106,"SEDAN","2","F","A","5"
0.95,0.2819986311,"SEDAN","3","M","A","5"
0.98,0.0027378508,"SEDAN","3","F","D","1"
4.75,0.7501711157,"STNWG","2","M","C","5"
5.12,0.9719370294,"STNWG","2","M","B","4"
1.86,0.6269678302,"SEDAN","3","M","D","4"
0.78,0.3668720055,"HBACK","4","M","A","4"
2.33,0.6652977413,"UTE","3","M","D","2"
2.42,0.7638603696,"UTE","3","M","B","2"
2.09,0.0574948665,"STNWG","2","M","B","2"
0.83,0.6488706365,"SEDAN","3","F","B","5"
1.37,0.6078028747,"HBACK","2","M","D","5"
3.36,0.6981519507,"STNWG","2","F","D","3"
1.17,0.4052019165,"TRUCK","3","F","C","4"
3.15,0.2245037645,"STNWG","3","M","D","2"
3.96,0.9856262834,"UTE","1","M","F","2"
1.08,0.2135523614,"HBACK","3","F","C","4"
1.73,0.3449691992,"SEDAN","3","F","A","4"
0.47,0.4271047228,"HBACK","4","F","B","4"
0.74,0.8432580424,"SEDAN","4","F","C","6"
1.23,0.0602327173,"STNWG","4","M","D","2"
2.62,0.295687885,"HBACK","1","F","B","2"
2.08,0.8980150582,"STNWG","3","F","F","5"
1.9,0.1533196441,"SEDAN","2","M","A","4"
0.31,0.5804243669,"SEDAN","4","M","C","6"
1.99,0.3531827515,"STNWG","4","M","C","2"
1.96,0.0246406571,"HBACK","1","F","D","4"
0.64,0.3203285421,"STNWG","4","F","A","3"
0.92,0.4052019165,"COUPE","4","F","B","3"
5.87,0.1396303901,"STNWG","2","F","A","2"
1.62,0.6324435318,"STNWG","4","M","C","3"
1.84,0.3887748118,"STNWG","4","F","C","2"
0.35,0.3148528405,"HBACK","4","F","A","1"
1.42,0.9062286105,"SEDAN","3","M","E","2"
3.884,0.3504449008,"UTE","1","F","D","4"
1.2,0.2902121834,"HBACK","1","F","B","4"
1.6,0.8980150582,"SEDAN","3","M","A","5"
0.98,0.1806981519,"HDTOP","4","F","A","1"
5.7,0.7446954141,"STNWG","2","M","F","5"
1.17,0.8240930869,"SEDAN","3","M","C","4"
1.28,0.1396303901,"STNWG","4","F","C","5"
1.41,0.1724845996,"STNWG","2","M","C","5"
1.02,0.9171800137,"HBACK","3","F","A","4"
0.81,0.7857631759,"HBACK","3","F","E","6"
1.36,0.4353182752,"COUPE","3","F","B","1"
1.53,0.3969883641,"STNWG","4","M","C","1"
1.36,0.6926762491,"HBACK","3","F","B","6"
3.61,0.7802874743,"STNWG","2","M","A","6"
1.14,0.8131416838,"STNWG","4","F","A","2"
0.61,0.2683093771,"SEDAN","4","M","C","3"
2.09,0.090349076,"MIBUS","3","F","A","4"
1.37,0.9993155373,"HBACK","2","M","D","2"
1.71,0.0301163587,"HBACK","2","F","E","6"
3.91,0.5393566051,"UTE","1","M","A","3"
0.88,0.7611225188,"STNWG","4","M","A","1"
0.91,0.4298425736,"HBACK","3","F","B","5"
1.63,0.7939767283,"SEDAN","2","F","A","1"
1.68,0.9637234771,"SEDAN","2","M","C","3"
1.74,0.5776865161,"SEDAN","3","M","C","1"
2.65,0.9582477755,"STNWG","4","M","F","3"
1.79,0.8980150582,"SEDAN","2","F","A","4"
1.64,0.2683093771,"HBACK","2","F","E","5"
1.57,0.038329911,"HBACK","2","M","B","3"
1.86,0.1067761807,"HBACK","2","F","C","2"
1.74,0.8733744011,"SEDAN","2","F","A","6"
2.33,0.6652977413,"SEDAN","1","F","A","4"
0.97,0.6625598905,"UTE","3","M","E","5"
0.83,0.6187542779,"SEDAN","3","F","C","1"
1.79,0.6406570842,"STNWG","4","M","F","3"
1.26,0.2381930185,"SEDAN","3","M","C","5"
3.51,0.6652977413,"STNWG","3","F","A","3"
0.55,0.3586584531,"TRUCK","4","F","E","4"
4.38,0.3504449008,"STNWG","2","M","B","5"
2,0.4106776181,"HBACK","1","F","C","3"
3.51,0.6872005476,"STNWG","2","F","A","5"
2.23,0.1423682409,"SEDAN","1","F","B","4"
2.599,0.1040383299,"UTE","1","M","A","4"
0.52,0.7802874743,"HBACK","4","F","C","4"
2.93,0.2710472279,"STNWG","1","F","A","2"
2.21,0.8459958932,"UTE","1","F","C","4"
1.98,0.4188911704,"HBACK","1","M","D","5"
0.69,0.0629705681,"SEDAN","4","F","A","5"
2.15,0.9089664613,"UTE","3","M","D","6"
1.01,0.7611225188,"HBACK","3","F","E","2"
1.77,0.424366872,"HBACK","2","F","A","3"
2.75,0.4462696783,"STNWG","1","F","B","1"
0.83,0.0821355236,"TRUCK","4","M","D","3"
1.66,0.5557837098,"HBACK","2","F","C","4"
1.81,0.6023271732,"SEDAN","2","F","E","3"
2.03,0.9993155373,"SEDAN","1","M","A","6"
1.16,0.0985626283,"SEDAN","3","F","D","6"
0.95,0.8678986995,"SEDAN","4","M","C","4"
0.3,0.1834360027,"HBACK","4","F","D","5"
0.43,0.6379192334,"HBACK","4","F","A","3"
1.26,0.9993155373,"HBACK","2","M","A","3"
0.7,0.5229295003,"HBACK","4","M","B","3"
1.1,0.038329911,"HBACK","3","M","D","5"
1.76,0.476386037,"HBACK","1","M","A","4"
0.41,0.3449691992,"HBACK","4","F","B","3"
1.41,0.7419575633,"SEDAN","3","F","A","5"
0.46,0.9281314168,"SEDAN","4","M","B","5"
2,0.2929500342,"COUPE","4","F","C","4"
2.38,0.6023271732,"STNWG","3","M","A","4"
0.62,0.3203285421,"UTE","4","M","A","1"
2.01,0.0027378508,"STNWG","4","F","C","2"
1.52,0.3969883641,"HBACK","3","M","E","2"
1.84,0.3915126626,"HBACK","1","M","E","6"
0.86,0.8651608487,"HBACK","4","F","C","4"
3.599,0.7173169062,"STNWG","1","M","B","3"
3.96,0.7994524298,"STNWG","2","F","B","3"
1.04,0.9418206708,"SEDAN","3","F","C","5"
2.05,0.9472963723,"STNWG","3","F","C","4"
1.35,0.076659822,"STNWG","4","M","B","3"
0.58,0.3367556468,"SEDAN","4","F","A","5"
1.74,0.810403833,"HBACK","3","F","A","6"
2.45,0.0848733744,"STNWG","2","F","A","3"
1.28,0.681724846,"STNWG","4","F","E","3"
1.4,0.386036961,"HBACK","1","M","A","6"
0.96,0.1232032854,"HBACK","3","F","D","1"
3.73,0.0684462697,"SEDAN","1","F","B","4"
1.74,0.1259411362,"SEDAN","2","M","C","4"
4.46,0.2354551677,"COUPE","2","F","A","4"
0.87,0.7145790554,"UTE","4","F","A","6"
0.92,0.8651608487,"SEDAN","4","M","D","6"
3.76,0.848733744,"UTE","1","F","C","2"
0.5,0.0793976728,"HBACK","4","F","B","4"
1.3,0.4052019165,"HBACK","2","M","E","5"
3.39,0.2929500342,"SEDAN","1","M","D","3"
2.25,0.5037645448,"STNWG","4","M","B","1"
1.06,0.3039014374,"SEDAN","3","M","A","2"
0.79,0.5694729637,"HBACK","3","F","A","3"
3.06,0.796714579,"STNWG","3","M","C","5"
1.73,0.0191649555,"SEDAN","2","M","A","3"
1.8,0.9062286105,"STNWG","2","F","A","5"
5.28,0.2518822724,"SEDAN","1","M","C","6"
1.35,0.1204654346,"STNWG","4","M","C","5"
1.74,0.1368925394,"HBACK","2","F","C","2"
0.71,0.6461327858,"UTE","4","M","B","4"
1.37,0.7556468172,"HBACK","2","M","D","4"
1.99,0.4024640657,"STNWG","4","F","B","2"
0.93,0.1834360027,"SEDAN","3","F","B","3"
1.88,0.090349076,"STNWG","4","F","E","4"
2.04,0.3422313484,"HBACK","2","F","B","3"
1.76,0.1067761807,"SEDAN","1","M","A","5"
0.38,0.7885010267,"SEDAN","4","M","A","5"
0.92,0.6899383984,"HBACK","3","F","C","6"
2.13,0.8021902806,"HDTOP","2","M","A","2"
1.5,0.372347707,"HBACK","1","F","C","4"
2.14,0.7392197125,"HBACK","1","F","A","2"
1.34,0.643394935,"SEDAN","3","F","A","5"
1.64,0.4681724846,"UTE","4","M","C","4"
2.68,0.7063655031,"STNWG","3","F","A","3"
3.35,0.1177275838,"STNWG","2","F","A","5"
1.71,0.7310061602,"HBACK","1","M","A","3"
0.83,0.6023271732,"STNWG","4","M","D","2"
4.11,0.3613963039,"TRUCK","1","M","E","1"
0.87,0.7337440109,"HBACK","3","M","C","4"
0.94,0.5174537988,"HBACK","3","M","A","5"
2.74,0.0355920602,"STNWG","3","M","F","3"
2.199,0.4134154689,"SEDAN","1","M","A","3"
1.13,0.038329911,"STNWG","4","F","D","3"
1.64,0.9363449692,"SEDAN","2","F","C","4"
2.85,0.887063655,"HBACK","2","M","C","5"
3.3588,0.2683093771,"SEDAN","1","F","C","4"
0.87,0.0328542094,"SEDAN","3","F","D","4"
0.64,0.0136892539,"HBACK","4","F","C","3"
0.69,0.9472963723,"HBACK","4","F","D","6"
2.38,0.4928131417,"SEDAN","1","F","B","2"
0.87,0.7282683094,"HBACK","3","F","A","5"
1.51,0.0191649555,"HBACK","3","M","F","4"
1.7643,0.7173169062,"HBACK","1","F","C","4"
0.99,0.0930869268,"HBACK","3","F","C","1"
0.65,0.3066392882,"COUPE","4","F","A","1"
0.83,0.3750855578,"HBACK","4","F","D","6"
1.87,0.0191649555,"SEDAN","1","M","C","6"
4.33,0.2436687201,"STNWG","1","M","F","2"
5.02,0.3887748118,"STNWG","2","F","A","3"
0.89,0.6132785763,"SEDAN","3","F","B","3"
1.9,0.1943874059,"STNWG","4","M","C","6"
1.5,0.6625598905,"HBACK","1","M","E","1"
1.69,0.386036961,"SEDAN","2","F","D","5"
0.41,0.4435318275,"SEDAN","4","F","C","3"
1.68,0.4818617385,"HBACK","2","M","B","2"
0.73,0.8131416838,"SEDAN","4","M","A","3"
1.17,0.1040383299,"SEDAN","3","M","C","2"
3,0.6132785763,"STNWG","3","F","C","2"
1.76,0.1998631075,"SEDAN","2","F","B","4"
1.2,0.0848733744,"SEDAN","3","M","A","6"
1.67,0.5585215606,"HBACK","3","F","C","1"
1.12,0.3011635866,"HBACK","3","F","A","6"
1.87,0.6954140999,"STNWG","4","M","D","5"
0.58,0.1943874059,"STNWG","4","F","B","4"
1.63,0.4106776181,"STNWG","4","M","B","1"
1.46,0.8651608487,"BUS","3","M","C","3"
1.61,0.1615331964,"SEDAN","2","M","D","3"
2.08,0.6187542779,"UTE","3","M","E","2"
3.37,0.9691991786,"HDTOP","2","F","A","4"
1.85,0.848733744,"HBACK","2","F","B","2"
2.7,0.6269678302,"STNWG","2","M","C","3"
1.44,0.090349076,"HBACK","3","F","B","4"
1.51,0.462696783,"HBACK","2","F","C","3"
3.34,0.7775496235,"STNWG","1","F","D","3"
2.13,0.4435318275,"SEDAN","2","F","B","4"
1.428,0.8158795346,"HBACK","1","F","A","3"
1.94,0.5749486653,"HBACK","1","M","A","2"
1.74,0.8021902806,"HBACK","2","F","B","4"
1.31,0.3531827515,"SEDAN","2","F","C","5"
1.97,0.0355920602,"CONVT","3","F","A","2"
1.87,0.6735112936,"HBACK","2","F","C","3"
4.34,0.1861738535,"STNWG","2","F","D","2"
2.83,0.2299794661,"STNWG","2","M","A","5"
4.31,0.7036276523,"STNWG","2","M","C","3"
1.9,0.7008898015,"SEDAN","2","M","B","2"
5.236,0.9993155373,"STNWG","1","M","D","4"
1.57,0.038329911,"HBACK","2","F","C","4"
0.39,0.8843258042,"SEDAN","4","F","D","4"
1.28,0.6242299795,"STNWG","3","M","B","2"
3.08,0.93908282,"STNWG","2","F","B","4"
0.44,0.2327173169,"HBACK","4","F","D","2"
3.25,0.8815879535,"SEDAN","1","F","B","3"
1.45,0.1533196441,"HBACK","3","F","C","3"
0.6,0.0328542094,"HBACK","4","F","C","3"
1,0.2381930185,"SEDAN","3","M","D","3"
1.56,0.8542094456,"STNWG","4","M","C","2"
1.34,0.4736481862,"HBACK","2","F","D","5"
0.88,0.3531827515,"COUPE","3","F","B","3"
2.11,0.8432580424,"SEDAN","2","M","C","6"
2.55,0.7830253251,"STNWG","3","M","B","3"
3.22,0.9801505818,"STNWG","1","M","B","5"
2.34,0.424366872,"STNWG","3","M","C","4"
1.25,0.7173169062,"SEDAN","4","F","C","6"
2.21,0.9336071184,"HBACK","1","M","C","5"
0.9,0.3778234086,"SEDAN","3","F","C","6"
2.02,0.2546201232,"SEDAN","1","M","C","1"
3.02,0.6735112936,"STNWG","3","M","A","2"
3.56,0.9555099247,"UTE","1","M","A","2"
0.3,0.0328542094,"HBACK","4","M","C","5"
2.42,0.2984257358,"STNWG","3","M","F","3"
0.67,0.8049281314,"SEDAN","4","F","C","3"
0.6,0.7008898015,"SEDAN","4","F","A","6"
0.71,0.0985626283,"HBACK","4","F","C","4"
1.47,0.4709103354,"HDTOP","4","F","E","2"
2.96,0.1095140315,"STNWG","2","M","A","3"
0.39,0.2327173169,"TRUCK","4","M","C","2"
1.22,0.5311430527,"SEDAN","3","M","B","2"
1.4,0.5639972621,"HDTOP","3","F","A","3"
2.07,0.2436687201,"MIBUS","4","F","E","2"
4.82,0.0793976728,"STNWG","1","M","F","2"
3.93,0.462696783,"TRUCK","2","M","C","4"
3.54,0.3175906913,"STNWG","2","M","C","5"
1.99,0.5886379192,"SEDAN","2","F","D","5"
0.22,0.2327173169,"HBACK","4","F","B","4"
3.16,0.0219028063,"UTE","2","M","B","2"
3.19,0.1642710472,"STNWG","1","F","A","4"
0.99,0.2026009582,"HBACK","2","F","A","4"
0.94,0.643394935,"HBACK","4","F","C","4"
1.12,0.8459958932,"SEDAN","3","F","B","2"
1.64,0.4079397673,"SEDAN","2","F","D","6"
1.35,0.629705681,"HBACK","3","M","C","5"
1.05,0.4216290212,"SEDAN","3","M","C","6"
1.82,0.6324435318,"HBACK","2","M","A","2"
2.66,0.4462696783,"STNWG","2","M","F","2"
2.71,0.1834360027,"SEDAN","1","F","B","2"
2.13,0.8788501027,"HDTOP","2","F","D","6"
4.03,0.0219028063,"UTE","1","M","A","3"
4.48,0.2491444216,"STNWG","1","M","C","1"
1.17,0.7748117728,"SEDAN","3","M","A","3"
1.82,0.7665982204,"HBACK","2","F","B","3"
0.7,0.9993155373,"STNWG","4","M","C","5"
0,0.9993155373,"STNWG","4","M","A","3"
2.93,0.4325804244,"STNWG","1","M","C","6"
1.7,0.4380561259,"STNWG","2","F","A","3"
1.45,0.3203285421,"SEDAN","3","F","C","5"
0.46,0.5995893224,"HBACK","4","F","D","3"
0.7,0.7036276523,"STNWG","4","F","B","4"
1.58,0.9993155373,"HBACK","3","F","B","4"
6.65,0.9418206708,"RDSTR","1","M","B","5"
1.07,0.0438056126,"HDTOP","4","F","E","2"
1.23,0.1451060917,"SEDAN","4","F","C","3"
1.57,0.8788501027,"HBACK","2","F","D","5"
2.41,0.8569472964,"STNWG","3","M","A","5"
2.41,0.6214921287,"HBACK","3","M","A","2"
2.37,0.7036276523,"STNWG","4","F","B","2"
1.26,0.0629705681,"HBACK","1","F","C","3"
2.22,0.8706365503,"SEDAN","2","M","D","5"
0.75,0.4654346338,"SEDAN","4","M","C","2"
1.21,0.9883641342,"SEDAN","3","M","C","3"
2.67,0.9281314168,"TRUCK","1","M","D","3"
1.52,0.9746748802,"STNWG","4","M","C","6"
2.9,0.7036276523,"STNWG","2","M","D","6"
1.93,0.8076659822,"SEDAN","2","M","C","3"
1.33,0.8213552361,"SEDAN","3","F","E","1"
1.17,0.8761122519,"STNWG","4","M","A","1"
1.38,0.6324435318,"SEDAN","3","M","C","4"
2.07,0.5831622177,"STNWG","1","F","D","6"
2.85,0.5229295003,"STNWG","3","F","E","2"
0.51,0.925393566,"SEDAN","4","F","B","3"
3.87,0.1697467488,"STNWG","2","M","A","4"
2.7,0.4271047228,"STNWG","3","M","D","6"
1.73,0.8158795346,"STNWG","4","M","A","2"
0.53,0.038329911,"SEDAN","4","M","A","4"
4.75,0.2600958248,"STNWG","2","F","E","3"
1.31,0.8815879535,"HBACK","1","M","A","5"
0.54,0.5941136208,"HBACK","4","F","A","2"
1.33,0.605065024,"SEDAN","3","F","C","5"
1.65,0.7091033539,"SEDAN","2","M","C","6"
1.68,0.386036961,"HBACK","1","F","C","4"
1.84,0.4052019165,"HBACK","3","F","A","4"
0.34,0.2929500342,"SEDAN","4","F","A","2"
2.91,0.6762491444,"STNWG","3","M","F","3"
1.84,0.4161533196,"SEDAN","1","M","B","3"
6.52,0.4462696783,"CONVT","3","F","A","4"
1.8,0.9363449692,"UTE","4","F","D","4"
3.14,0.8514715948,"TRUCK","3","M","C","1"
2.67,0.3367556468,"SEDAN","1","M","A","6"
1.37,0.887063655,"HBACK","3","M","A","4"
4.11,0.6625598905,"STNWG","2","F","B","3"
1.9,0.8514715948,"HBACK","1","F","F","6"
2.47,0.8925393566,"UTE","3","F","B","3"
0.39,0.8898015058,"PANVN","4","M","A","5"
0.76,0.3285420945,"HBACK","3","M","B","2"
2.82,0.0848733744,"STNWG","3","M","C","5"
1.32,0.3093771389,"SEDAN","3","F","C","4"
3.03,0.7994524298,"HDTOP","3","F","D","2"
0.46,0.9993155373,"PANVN","4","M","A","3"
1.46,0.0739219713,"HBACK","1","M","A","3"
3.9,0.0711841205,"UTE","1","M","D","2"
3.94,0.4325804244,"STNWG","2","M","D","4"
1.21,0.5941136208,"SEDAN","3","F","C","4"
1.1,0.8405201916,"SEDAN","3","F","C","4"
2.64,0.4216290212,"SEDAN","2","M","C","4"
1.96,0.5037645448,"STNWG","3","M","A","5"
2.11,0.3449691992,"STNWG","3","M","D","4"
0.75,0.3285420945,"HBACK","3","M","A","3"
