KIDS,AGE,INCOME,HOMEVAL,MARSTATUS,GENDER,EDUCATION,TRAVTIME,CARUSE,CARTYPE,CLMFREQ,MVRPTS,CARAGE,CLAIMFLAG
0,32,6930,0,Yes,M,HighSchool,42,Commercial,PanelTruck,1,1,8,Yes
0,43,33703,87190,Yes,F,PhD,5,Private,SUV,3,0,9,No
0,40,5253,77463,No,F,HighSchool,23,Commercial,SportsCar,0,3,1,No
2,45,30111,162409,Yes,M,HighSchool,36,Private,Pickup,0,0,1,No
0,57,43780,197162,Yes,M,Bachelors,56,Commercial,Minivan,0,0,1,No
1,41,119354,309520,Yes,M,Masters,34,Commercial,Pickup,2,4,18,Yes
0,62,103109,344523,Yes,M,Masters,41,Private,SUV,0,0,15,Yes
0,46,47520,205201,Yes,F,HighSchool,30,Commercial,SportsCar,0,1,8,No
0,52,68184,215796,Yes,M,Masters,41,Private,Minivan,0,0,22,No
0,44,118257,320567,Yes,F,Bachelors,9,Private,SUV,0,0,10,No
0,33,54480,180381,No,M,HighSchool,48,Commercial,Pickup,5,5,11,Yes
0,35,44839,195156,Yes,M,HighSchool,5,Commercial,SUV,1,2,1,No
0,49,37356,133175,Yes,M,HighSchool,63,Commercial,Pickup,1,7,6,Yes
0,49,115320,311697,Yes,F,Masters,44,Private,Minivan,0,3,15,Yes
0,33,65009,220639,Yes,F,Bachelors,30,Private,SUV,3,6,14,No
0,43,0,0,No,M,HighSchool,19,Commercial,Minivan,1,1,4,Yes
1,45,64916,232064,Yes,F,Bachelors,57,Commercial,Pickup,1,4,12,Yes
1,48,75741,225300,No,F,Masters,44,Private,SUV,0,3,19,Yes
0,42,0,87178,Yes,M,HighSchool,113,Commercial,Pickup,0,0,10,No
0,52,1423,80489,No,F,HighSchool,31,Private,SUV,4,0,8,No
0,41,136585,0,No,M,Masters,47,Private,Van,3,0,10,Yes
0,33,0,58710,Yes,F,Bachelors,24,Private,Pickup,2,6,13,Yes
1,46,21238,0,No,M,Lower,41,Private,SUV,2,1,7,No
0,58,46214,241259,Yes,M,HighSchool,34,Private,Van,0,0,12,No
0,44,29914,0,No,F,HighSchool,41,Commercial,SportsCar,0,1,1,Yes
0,54,157057,0,No,F,Masters,21,Private,Minivan,0,0,13,No
0,46,28063,114907,No,M,HighSchool,40,Private,Minivan,0,0,8,No
0,48,77039,0,No,F,Masters,25,Private,SUV,0,0,13,No
0,39,33997,123850,Yes,F,Lower,8,Private,Pickup,0,0,6,No
0,40,96462,262391,No,M,Bachelors,20,Private,Minivan,0,0,12,No
0,53,95044,264753,Yes,F,PhD,13,Commercial,Pickup,0,0,20,No
0,48,10476,106938,Yes,F,Lower,29,Private,SportsCar,0,0,8,No
0,34,139801,386903,Yes,F,Bachelors,24,Private,Minivan,0,0,10,No
0,50,34101,0,No,F,Lower,15,Private,SUV,0,0,4,Yes
0,50,33231,181556,No,M,Lower,43,Private,Minivan,0,0,3,No
0,42,44955,161808,Yes,M,Bachelors,30,Private,Minivan,0,2,7,Yes
0,50,107047,290830,No,F,Bachelors,27,Private,SportsCar,0,0,14,No
1,47,65324,191554,Yes,F,Bachelors,36,Private,Minivan,2,5,11,No
0,30,77170,250064,Yes,F,Masters,39,Private,SUV,1,1,16,No
0,61,62378,181874,Yes,F,Masters,70,Private,SUV,3,8,1,Yes
0,45,100335,286248,Yes,M,PhD,36,Private,Minivan,0,0,12,No
0,51,63265,0,No,M,HighSchool,37,Private,Minivan,0,0,1,No
0,45,32959,124867,Yes,M,Lower,32,Commercial,Van,0,1,2,No
0,51,48263,200023,Yes,F,HighSchool,39,Private,Minivan,0,0,10,No
0,54,50925,0,No,F,Masters,25,Private,SportsCar,3,6,14,No
0,50,0,109511,Yes,M,Lower,32,Private,Minivan,0,0,1,No
0,40,56626,210500,Yes,F,Bachelors,27,Private,SUV,3,4,1,No
0,56,0,118581,Yes,F,Bachelors,60,Private,SUV,0,0,13,No
0,45,39472,111469,Yes,M,HighSchool,31,Private,Minivan,0,5,9,No
0,54,167400,430292,Yes,M,Masters,35,Commercial,PanelTruck,0,0,5,No
0,44,234825,0,No,F,PhD,14,Private,SUV,1,7,19,Yes
0,41,157237,0,No,F,Masters,45,Private,Minivan,0,0,15,No
0,42,74379,0,No,M,Bachelors,55,Commercial,Pickup,3,5,9,Yes
0,49,28592,183206,Yes,M,Lower,31,Private,Pickup,1,3,1,Yes
0,50,17671,130075,Yes,F,Lower,81,Private,SUV,1,1,1,Yes
0,32,8404,78995,Yes,F,Lower,46,Private,SportsCar,0,0,1,No
0,36,0,0,No,F,Lower,35,Commercial,Pickup,2,8,1,Yes
0,61,59690,232227,Yes,F,PhD,44,Private,SportsCar,0,0,14,Yes
0,39,70153,214644,No,F,Bachelors,13,Private,Minivan,0,0,14,No
0,51,74003,249395,Yes,M,HighSchool,29,Commercial,PanelTruck,0,0,10,No
0,49,61068,0,No,M,HighSchool,21,Commercial,PanelTruck,1,5,1,Yes
0,62,68063,269614,Yes,M,Bachelors,45,Private,SUV,2,3,1,Yes
0,55,59162,180232,Yes,M,Bachelors,25,Commercial,Van,2,3,9,No
0,29,54310,174139,No,M,Lower,39,Private,Minivan,1,5,6,Yes
0,55,20046,154672,Yes,F,Masters,57,Private,SUV,0,2,20,Yes
0,34,0,0,Yes,F,Lower,42,Private,SUV,0,0,6,No
0,54,228160,569361,No,F,PhD,21,Private,Minivan,0,4,18,No
0,50,5041,85437,No,F,Masters,5,Commercial,Pickup,0,0,15,No
0,65,56513,189268,Yes,F,Masters,42,Private,SportsCar,1,4,25,No
0,51,55657,204828,Yes,F,Bachelors,41,Private,SUV,1,4,8,No
0,55,50431,178760,Yes,M,HighSchool,39,Commercial,Minivan,0,0,10,No
0,53,28535,145198,Yes,M,Lower,90,Commercial,Pickup,0,0,5,No
0,47,42278,126429,Yes,M,PhD,25,Commercial,Van,2,0,16,No
0,41,43392,145587,Yes,M,Lower,58,Private,Pickup,0,0,7,No
1,38,40197,160874,No,M,HighSchool,26,Commercial,Pickup,0,0,1,Yes
0,45,191870,546868,No,M,PhD,28,Private,Pickup,0,1,14,No
0,42,73551,0,No,F,Masters,33,Private,Minivan,2,4,8,Yes
0,53,48792,0,No,F,Bachelors,48,Private,SUV,0,1,8,No
0,46,85559,285506,Yes,M,Bachelors,18,Private,Minivan,0,2,9,No
0,34,49923,152311,Yes,M,Lower,5,Commercial,PanelTruck,0,0,6,No
0,56,105111,324250,Yes,M,Bachelors,63,Private,Minivan,0,0,1,No
1,39,40608,176832,No,F,HighSchool,20,Private,SUV,0,3,6,No
2,41,34056,122908,Yes,F,HighSchool,29,Commercial,SUV,3,3,1,No
0,48,0,0,Yes,M,HighSchool,30,Commercial,Pickup,0,0,12,Yes
0,49,23711,0,No,F,HighSchool,25,Private,SportsCar,0,0,1,No
0,33,53041,147510,Yes,F,HighSchool,45,Commercial,Pickup,2,9,10,Yes
0,48,69643,245463,No,M,Bachelors,33,Commercial,Pickup,0,0,1,No
0,46,31276,129120,Yes,F,Bachelors,47,Commercial,SportsCar,1,5,9,Yes
0,46,82149,0,No,M,Bachelors,19,Commercial,Van,2,0,10,Yes
0,48,64133,243575,No,F,HighSchool,34,Private,SUV,0,0,8,No
0,48,28012,117343,Yes,F,HighSchool,38,Private,Pickup,0,0,7,No
0,42,41293,0,No,F,HighSchool,48,Private,SUV,0,0,8,Yes
0,35,29371,0,No,F,Lower,49,Private,SportsCar,0,0,1,No
0,41,71600,214130,No,F,Bachelors,35,Private,SUV,0,4,5,No
0,43,0,92216,Yes,M,HighSchool,55,Commercial,Pickup,4,7,1,No
0,38,81976,273051,Yes,M,Masters,19,Private,Van,0,0,13,No
0,37,98655,272278,Yes,F,Masters,15,Private,SUV,0,5,13,No
0,53,46396,164037,Yes,M,Bachelors,29,Commercial,Van,0,0,11,Yes
0,48,97733,313285,Yes,F,Masters,5,Private,Minivan,0,1,18,No
0,49,108748,322394,Yes,F,Lower,32,Private,SUV,0,1,7,No
0,48,118277,0,No,M,Masters,36,Commercial,Van,3,1,18,Yes
0,35,104948,317002,Yes,F,Bachelors,40,Private,Pickup,1,6,1,No
0,52,197895,502063,Yes,F,Bachelors,52,Commercial,SportsCar,0,1,11,No
0,53,47264,215249,Yes,M,Bachelors,36,Private,Pickup,0,2,11,No
0,50,121299,315447,Yes,F,Lower,19,Private,SportsCar,0,1,1,No
0,31,39456,148093,Yes,F,Masters,57,Private,SportsCar,0,0,9,No
1,45,36365,0,No,M,HighSchool,48,Private,Minivan,0,3,8,Yes
0,30,22780,116924,Yes,F,HighSchool,8,Private,Minivan,1,5,8,No
0,23,11666,109363,Yes,F,Lower,26,Private,SportsCar,0,4,1,Yes
0,47,2825,91520,Yes,F,Bachelors,65,Private,SUV,0,2,16,No
0,48,34669,146134,Yes,M,HighSchool,42,Commercial,Pickup,3,1,1,Yes
0,42,44059,206758,Yes,F,Lower,62,Private,SUV,0,2,1,Yes
0,46,76216,0,No,F,Masters,56,Private,SUV,0,3,19,No
0,43,43808,176022,Yes,M,Bachelors,55,Private,Minivan,0,2,7,No
0,47,58414,211733,Yes,F,Bachelors,33,Commercial,Van,1,0,1,No
0,47,71976,207191,No,M,Bachelors,21,Commercial,PanelTruck,0,3,11,No
0,35,88117,236440,No,F,Bachelors,55,Commercial,Minivan,0,0,10,No
0,45,65940,231593,Yes,M,Bachelors,43,Private,Minivan,0,0,10,No
0,35,81125,0,No,F,Bachelors,35,Commercial,SUV,0,1,1,No
3,45,22738,0,No,F,Lower,95,Private,SUV,3,4,1,No
0,49,22978,144545,Yes,M,Lower,5,Private,Van,0,0,9,No
1,36,50750,0,No,F,Masters,26,Private,SUV,3,7,14,No
0,36,26587,0,No,F,Lower,45,Private,SUV,1,5,1,Yes
0,56,82964,302661,No,M,Masters,33,Commercial,PanelTruck,2,4,18,No
0,22,36821,193948,No,F,Masters,23,Private,Pickup,2,0,20,No
0,34,45384,187731,No,F,HighSchool,39,Private,SUV,0,0,8,No
1,40,55172,0,No,F,HighSchool,22,Commercial,SUV,3,6,1,No
0,38,27370,111642,Yes,M,HighSchool,14,Private,Minivan,0,0,9,Yes
0,61,127649,351274,Yes,F,Masters,41,Private,SportsCar,1,3,19,No
2,57,106465,329334,Yes,F,Masters,37,Private,SUV,4,7,16,Yes
0,48,74597,300560,Yes,M,Bachelors,25,Commercial,Minivan,0,0,1,No
0,36,29412,149177,Yes,M,HighSchool,45,Commercial,PanelTruck,2,5,11,Yes
2,44,83682,278852,Yes,F,Masters,24,Commercial,Pickup,1,0,13,No
0,59,40219,226113,Yes,F,Bachelors,21,Private,SUV,0,1,10,No
0,61,85554,272542,Yes,M,Masters,43,Private,SUV,0,0,15,No
0,57,35436,187051,Yes,F,HighSchool,39,Commercial,SUV,0,4,3,Yes
2,42,114277,307203,Yes,M,Masters,6,Private,Minivan,0,0,14,No
0,49,29998,153415,Yes,M,HighSchool,48,Private,Van,0,1,12,No
0,45,77337,0,No,F,Bachelors,37,Private,SUV,2,3,12,Yes
0,31,48317,133939,Yes,F,HighSchool,15,Private,SportsCar,1,1,1,Yes
0,40,38589,130713,No,M,HighSchool,17,Commercial,PanelTruck,1,3,1,No
0,33,92060,0,No,F,Bachelors,24,Private,SUV,0,0,10,Yes
0,32,0,0,Yes,M,Lower,24,Private,Minivan,0,0,8,No
0,56,113370,0,No,F,PhD,49,Commercial,Pickup,2,0,12,No
0,29,38494,0,No,M,Bachelors,59,Commercial,PanelTruck,0,0,8,No
0,52,37239,191937,Yes,F,Masters,22,Private,SUV,0,0,12,No
1,42,34560,119626,Yes,M,Lower,36,Commercial,Pickup,0,0,7,No
0,58,58139,229625,Yes,F,Masters,48,Private,Minivan,0,3,13,No
3,44,115100,318540,Yes,M,Masters,37,Commercial,PanelTruck,1,9,16,Yes
0,53,119273,321164,Yes,F,PhD,18,Commercial,PanelTruck,0,1,23,Yes
0,39,18274,0,No,F,HighSchool,11,Private,SUV,0,0,1,No
0,30,26315,0,No,M,HighSchool,56,Commercial,Pickup,0,3,1,Yes
0,48,49711,0,No,F,HighSchool,5,Private,SUV,0,0,7,No
0,55,45918,226111,Yes,F,HighSchool,52,Private,SportsCar,2,0,1,No
0,57,68818,253974,Yes,F,Bachelors,46,Private,Minivan,0,4,9,Yes
0,45,41492,198232,Yes,F,Lower,27,Private,Pickup,0,0,8,No
0,49,173242,420092,Yes,F,PhD,40,Private,SUV,0,0,20,No
0,36,2647,0,No,M,Lower,49,Private,Minivan,0,0,6,No
0,52,207687,510742,Yes,M,Masters,26,Commercial,PanelTruck,0,0,16,No
3,45,32089,156060,Yes,M,Lower,34,Commercial,Pickup,1,5,1,No
0,52,40709,181938,Yes,M,Masters,27,Private,Minivan,0,0,13,No
1,42,35101,150376,Yes,F,Bachelors,37,Private,SUV,0,2,16,No
0,50,74578,251674,Yes,F,Lower,45,Private,SUV,3,5,4,Yes
0,49,66196,229425,Yes,M,Bachelors,17,Private,Pickup,2,0,11,No
0,61,201627,0,No,F,PhD,26,Private,SportsCar,0,0,12,No
0,36,45484,187068,Yes,F,Lower,23,Private,SUV,2,6,1,No
0,35,13365,0,No,F,Bachelors,38,Commercial,SUV,1,6,9,No
0,48,114869,300454,No,F,Masters,5,Private,SUV,2,0,15,No
0,44,16352,134164,Yes,F,HighSchool,37,Private,SUV,1,0,1,Yes
0,45,83111,237263,No,M,Bachelors,31,Private,Minivan,1,5,7,No
1,43,96011,320017,No,F,Bachelors,39,Private,SUV,1,0,4,Yes
0,35,73106,257856,Yes,M,PhD,6,Commercial,Van,0,7,13,No
0,48,66960,0,No,M,Bachelors,43,Private,Minivan,2,5,10,No
0,52,82599,0,No,F,Masters,16,Private,Minivan,0,2,26,No
0,30,80872,285859,Yes,M,Bachelors,27,Private,Minivan,0,0,7,No
0,47,57446,205310,Yes,M,HighSchool,30,Commercial,PanelTruck,0,1,7,Yes
0,44,34255,190620,Yes,M,HighSchool,36,Commercial,Pickup,3,3,10,No
0,60,75499,258131,Yes,F,HighSchool,19,Commercial,Pickup,0,0,1,No
0,44,50593,192822,Yes,F,HighSchool,88,Private,SportsCar,1,3,12,No
0,42,79185,243880,Yes,F,Bachelors,28,Private,SUV,1,5,1,No
0,36,12938,0,Yes,F,HighSchool,31,Commercial,SUV,0,1,1,No
0,40,0,0,Yes,F,HighSchool,57,Private,SUV,0,2,1,No
0,50,51135,149405,Yes,M,Masters,32,Private,Minivan,0,6,13,No
0,42,47114,0,No,M,Bachelors,22,Commercial,Pickup,0,7,7,Yes
0,51,30531,122736,Yes,F,HighSchool,48,Commercial,SUV,3,5,1,Yes
0,47,52814,217253,Yes,M,HighSchool,20,Commercial,Pickup,0,0,11,No
0,39,45789,0,No,M,Bachelors,25,Private,Pickup,0,0,10,No
0,47,65802,262566,Yes,F,HighSchool,31,Private,SUV,0,0,1,Yes
0,51,121237,342601,Yes,F,Masters,16,Private,SUV,0,3,10,No
0,40,49182,186066,Yes,M,Bachelors,28,Commercial,Pickup,0,0,13,Yes
0,48,0,0,Yes,M,HighSchool,48,Commercial,Minivan,3,6,8,Yes
0,36,6848,0,Yes,F,HighSchool,46,Private,Minivan,0,0,4,No
0,32,22901,87839,Yes,M,HighSchool,49,Private,Minivan,0,1,6,Yes
0,40,55258,182917,No,M,HighSchool,37,Commercial,Minivan,2,3,1,No
0,65,60349,247580,Yes,M,Masters,40,Private,SportsCar,0,1,10,Yes
0,53,58691,255524,No,F,Masters,5,Private,Minivan,1,3,15,Yes
0,54,71007,240833,Yes,M,Bachelors,61,Private,Minivan,0,0,11,No
0,47,27381,146238,No,F,Lower,46,Private,Minivan,0,0,1,No
0,28,57417,144443,No,F,Bachelors,37,Commercial,SUV,2,0,8,Yes
0,38,51996,223035,Yes,M,HighSchool,46,Private,Pickup,4,1,1,No
0,51,36451,138535,Yes,M,HighSchool,68,Commercial,Pickup,0,0,1,No
0,36,77526,262675,Yes,M,Bachelors,31,Private,Minivan,3,5,11,No
0,37,61517,204018,Yes,F,Bachelors,47,Private,SUV,0,1,7,No
0,50,36504,209726,No,F,Lower,35,Private,SUV,1,4,3,Yes
0,27,0,0,No,F,HighSchool,13,Commercial,Pickup,0,0,1,No
0,41,40034,184277,Yes,M,Masters,5,Commercial,PanelTruck,0,2,13,No
0,40,0,104638,Yes,F,Bachelors,58,Private,SUV,3,4,12,No
0,31,30348,128843,No,M,Bachelors,47,Private,Minivan,1,4,9,Yes
0,40,75128,171886,Yes,M,Bachelors,50,Private,Pickup,0,1,14,No
0,51,109056,307278,Yes,F,Masters,27,Private,SUV,0,0,14,No
0,48,92234,0,No,M,Bachelors,27,Commercial,Van,2,1,8,Yes
1,42,85408,274402,Yes,F,HighSchool,32,Commercial,Minivan,2,0,8,Yes
0,32,23504,86581,Yes,F,HighSchool,11,Private,Minivan,0,0,7,No
0,40,84506,251400,Yes,F,Masters,32,Private,Minivan,0,5,15,No
0,35,46416,183094,Yes,F,Lower,27,Commercial,Van,0,0,1,Yes
0,22,0,0,No,F,HighSchool,63,Private,SUV,2,2,1,Yes
2,41,3604,0,No,M,HighSchool,53,Commercial,Pickup,3,0,8,Yes
0,41,137815,0,No,F,Bachelors,33,Private,Minivan,0,1,1,No
0,35,47797,0,No,F,Bachelors,23,Private,SUV,2,4,6,Yes
0,51,11070,0,Yes,M,Lower,34,Commercial,Pickup,0,1,1,No
0,36,19341,118468,No,M,Lower,36,Commercial,Pickup,0,1,1,Yes
0,50,0,0,Yes,F,HighSchool,32,Commercial,Minivan,0,2,1,No
0,45,40368,171248,Yes,F,Bachelors,37,Private,SportsCar,0,1,8,No
0,52,38806,202431,Yes,M,HighSchool,69,Commercial,Pickup,2,3,10,Yes
0,39,16862,148063,Yes,M,Bachelors,47,Private,Van,4,4,12,No
0,31,89640,223021,Yes,M,Lower,45,Commercial,Van,1,3,1,No
0,31,69201,224997,No,M,HighSchool,8,Commercial,Pickup,1,2,1,No
0,46,40577,136712,Yes,M,Masters,44,Private,Van,0,0,16,No
1,42,63994,295428,Yes,M,HighSchool,30,Commercial,Van,0,4,1,No
0,47,108892,306026,Yes,F,Bachelors,21,Private,SUV,0,1,1,No
0,43,110543,330562,No,F,Masters,48,Commercial,SUV,0,0,9,No
0,38,0,72864,Yes,F,HighSchool,51,Private,SUV,2,0,9,No
0,50,29296,173233,Yes,F,Lower,34,Private,Van,4,4,1,No
0,32,21357,0,No,M,Lower,48,Private,Minivan,2,7,1,Yes
0,45,29836,130714,No,M,Lower,28,Commercial,Pickup,0,1,6,No
0,33,19824,94883,Yes,F,HighSchool,53,Private,SUV,0,0,8,No
0,36,60847,211273,No,F,Bachelors,31,Private,SUV,3,5,3,Yes
0,51,46570,0,No,F,Masters,59,Private,Minivan,0,0,17,Yes
1,44,18564,117386,No,F,Lower,12,Commercial,Pickup,3,3,6,Yes
0,36,20800,0,Yes,F,HighSchool,57,Private,SUV,0,1,6,No
0,46,23965,0,No,M,Lower,26,Private,Pickup,0,0,6,No
1,44,46140,169084,Yes,M,HighSchool,29,Commercial,Pickup,3,7,1,Yes
0,54,43821,0,No,F,Masters,6,Private,Minivan,0,2,15,No
0,38,0,81040,Yes,M,Lower,21,Private,Minivan,0,0,7,No
0,51,85076,249276,Yes,F,Bachelors,25,Private,SportsCar,0,1,8,No
0,53,0,77849,Yes,F,Bachelors,27,Private,Pickup,0,0,8,No
0,37,73941,265035,No,F,Bachelors,6,Private,SUV,0,0,10,No
0,50,58724,280436,Yes,F,Bachelors,26,Commercial,Minivan,0,2,7,No
0,31,67842,0,No,M,Bachelors,49,Commercial,Pickup,0,0,1,Yes
1,56,97670,331977,Yes,M,HighSchool,34,Commercial,PanelTruck,2,0,8,Yes
0,33,77719,0,No,F,HighSchool,39,Commercial,SUV,0,0,1,Yes
1,43,15715,143966,Yes,M,Lower,59,Private,Minivan,1,5,6,No
0,40,18539,98559,Yes,M,Lower,45,Private,Pickup,0,0,4,No
0,38,0,66812,Yes,F,HighSchool,17,Private,SUV,0,1,8,Yes
2,43,60860,185719,Yes,M,Bachelors,40,Commercial,Minivan,0,0,9,No
0,47,0,0,No,F,Masters,17,Private,SUV,0,0,17,Yes
0,48,61509,195438,Yes,M,Masters,40,Commercial,PanelTruck,0,1,17,No
0,42,98515,289187,No,F,Masters,22,Private,SUV,1,4,17,Yes
0,40,93474,237916,Yes,M,Masters,46,Private,Pickup,1,0,13,No
1,45,111268,288071,Yes,F,Masters,46,Private,Minivan,3,3,10,Yes
0,49,40599,193571,Yes,F,HighSchool,39,Commercial,SportsCar,1,6,5,No
0,27,34276,99323,Yes,F,Bachelors,36,Private,SUV,0,0,1,No
0,43,69479,256801,Yes,M,Masters,53,Private,Pickup,0,2,15,No
0,35,0,0,No,M,HighSchool,34,Private,Pickup,2,0,1,No
0,40,44029,142645,Yes,F,Lower,5,Private,SUV,0,0,6,No
0,48,53350,220481,Yes,M,HighSchool,5,Private,Minivan,0,1,7,No
1,54,0,0,No,F,Bachelors,21,Private,SUV,1,6,9,No
0,40,114032,0,No,F,Masters,65,Private,Pickup,0,3,2,Yes
0,58,67608,244407,Yes,M,Bachelors,40,Private,Minivan,0,0,12,No
0,29,25690,0,No,F,Lower,36,Private,SUV,0,1,1,No
0,29,45114,121949,Yes,M,HighSchool,41,Private,Pickup,0,0,1,No
0,50,16074,0,No,F,Lower,53,Private,SUV,4,3,1,Yes
0,43,87597,244590,Yes,F,Bachelors,41,Private,SUV,0,0,5,No
0,26,21276,0,Yes,F,Bachelors,17,Private,Minivan,0,0,4,No
0,35,71903,261075,No,M,HighSchool,18,Private,Pickup,2,0,1,No
0,57,43288,207205,Yes,F,Bachelors,71,Private,SportsCar,4,7,9,Yes
0,55,81769,295162,Yes,M,HighSchool,26,Private,Minivan,0,0,8,No
0,47,166325,470327,No,M,Masters,53,Private,Van,0,0,12,No
0,45,70982,220008,Yes,M,HighSchool,5,Private,SUV,0,2,6,No
0,50,0,110784,No,F,Masters,17,Private,Pickup,0,0,15,No
0,30,42774,144023,Yes,M,Lower,23,Commercial,Pickup,1,2,5,No
0,29,0,0,No,M,HighSchool,32,Private,Minivan,3,8,7,No
0,46,64654,0,No,F,HighSchool,11,Commercial,SUV,0,0,10,No
0,49,62786,221669,Yes,M,HighSchool,56,Private,Van,1,4,5,No
0,46,27703,178482,No,F,Bachelors,12,Commercial,Pickup,0,4,11,No
0,45,87038,0,No,F,HighSchool,27,Private,SUV,0,1,7,No
0,28,12117,0,No,M,Bachelors,26,Commercial,Pickup,0,3,1,Yes
1,42,42989,182292,No,F,HighSchool,12,Commercial,Pickup,0,0,1,No
0,48,133282,0,No,M,PhD,31,Commercial,Pickup,0,2,19,No
1,43,82356,244354,Yes,M,Lower,33,Commercial,Van,0,0,3,No
0,42,40277,156362,No,M,Bachelors,46,Commercial,Pickup,2,6,9,Yes
0,38,62290,223013,No,F,Bachelors,22,Commercial,Minivan,0,0,9,Yes
0,47,63936,241912,No,F,HighSchool,48,Private,Minivan,3,6,1,No
0,54,204766,521764,Yes,M,PhD,34,Private,Minivan,0,2,15,No
0,26,68524,0,No,F,Bachelors,34,Private,SportsCar,3,11,10,Yes
1,37,15739,138776,Yes,F,HighSchool,23,Private,SportsCar,0,3,6,Yes
0,42,182462,401307,Yes,F,PhD,32,Private,Van,0,0,16,No
0,48,81389,247569,Yes,F,Bachelors,48,Private,SUV,0,0,11,No
0,53,73056,0,No,M,Bachelors,34,Private,Minivan,0,1,12,No
1,62,43410,186429,Yes,M,Bachelors,43,Commercial,Minivan,3,0,14,No
0,56,75265,212010,No,M,HighSchool,7,Private,Minivan,0,1,10,No
1,38,14320,77725,No,F,HighSchool,26,Private,Minivan,1,0,4,Yes
0,24,11215,0,No,M,HighSchool,32,Commercial,Pickup,4,8,8,Yes
0,52,135523,388666,Yes,M,Bachelors,18,Commercial,Van,3,4,13,No
0,30,28162,137585,Yes,M,Lower,6,Private,Minivan,1,0,7,No
1,58,3272,0,Yes,M,Lower,42,Private,Minivan,2,2,5,Yes
0,53,69297,211553,Yes,M,HighSchool,19,Private,Van,0,3,1,No
0,60,3103,114402,Yes,F,HighSchool,34,Private,SUV,1,3,9,Yes
