"veh_value","exposure","clm","veh_body","veh_age","gender","area","agecat"
1.01,0.5585215606,"1","HBACK","3","F","C","2"
1.4,0.8569472964,"1","SEDAN","3","F","B","5"
1.06,0.9171800137,"0","STNWG","3","M","A","4"
3.46,0.386036961,"0","STNWG","2","F","A","3"
1.72,0.6160164271,"1","STNWG","2","F","A","6"
1.62,0.8131416838,"0","HDTOP","3","F","C","5"
0.74,0.5749486653,"1","HBACK","4","F","C","2"
1.07,0.9856262834,"0","UTE","4","F","B","2"
0.72,0.9719370294,"0","STNWG","4","M","F","4"
1.79,0.7912388775,"0","STNWG","4","M","A","4"
2.67,0.5639972621,"0","STNWG","2","M","C","5"
1.03,0.5694729637,"1","HBACK","3","F","F","5"
0.99,0.3285420945,"0","HBACK","2","F","E","4"
2.3,0.34770705,"1","STNWG","3","F","C","2"
1.75,0.5585215606,"0","SEDAN","2","F","C","2"
1.56,0.4681724846,"1","SEDAN","3","M","B","4"
1.8,0.6543463381,"1","STNWG","4","M","C","3"
1.73,0.6269678302,"0","PANVN","3","F","A","3"
0.7,0.6570841889,"1","STNWG","4","F","B","2"
1.83,0.7282683094,"1","STNWG","4","F","E","5"
0.91,0.0848733744,"1","UTE","4","M","C","2"
1.17,0.6680355921,"0","SEDAN","3","F","B","2"
2.45,0.5886379192,"0","SEDAN","2","M","C","4"
1.23,0.2217659138,"1","HBACK","4","F","C","3"
1.82,0.5804243669,"1","HBACK","2","F","D","6"
0.9,0.3093771389,"1","MIBUS","4","M","A","4"
1.88,0.3696098563,"0","SEDAN","2","F","B","4"
2.06,0.2436687201,"1","STNWG","3","M","E","2"
2.37,0.4599589322,"1","MIBUS","3","M","C","2"
2.42,0.6214921287,"1","SEDAN","1","M","B","3"
2.38,0.8569472964,"1","HDTOP","2","F","A","2"
0.83,0.5776865161,"1","SEDAN","4","F","B","4"
1.32,0.5612594114,"1","STNWG","3","M","D","6"
0.71,0.0273785079,"0","HBACK","3","F","B","1"
0.53,0.0027378508,"0","UTE","4","M","E","4"
20.67,0.4818617385,"0","SEDAN","1","M","A","1"
1.71,0.4599589322,"1","HBACK","3","F","B","2"
0.86,0.629705681,"0","SEDAN","4","F","B","2"
0.85,0.2272416153,"1","SEDAN","4","F","E","4"
2.48,0.0355920602,"0","HDTOP","2","F","D","5"
0.85,0.3039014374,"0","STNWG","4","M","B","3"
4.53,0.5256673511,"1","HDTOP","1","M","F","5"
5.23,0.514715948,"0","STNWG","2","M","D","3"
2.79,0.5420944559,"1","STNWG","1","F","A","5"
0.82,0.5557837098,"0","SEDAN","3","F","A","5"
2.5,0.93908282,"1","STNWG","3","M","B","1"
0.31,0.0793976728,"0","SEDAN","4","M","C","1"
1.3,0.6351813826,"1","HBACK","2","F","C","4"
1.95,0.9363449692,"1","STNWG","4","M","C","2"
0.86,0.5749486653,"1","HBACK","3","F","C","4"
0.78,0.9883641342,"1","HBACK","3","F","E","1"
1.23,0.7994524298,"0","STNWG","3","F","D","3"
3.23,0.9445585216,"1","PANVN","2","M","C","1"
0.86,0.9856262834,"1","HBACK","3","F","C","2"
5.51,0.4435318275,"1","STNWG","1","M","F","2"
2.78,0.3394934976,"0","SEDAN","1","M","B","5"
2.94,0.7994524298,"1","STNWG","3","M","C","3"
0.54,0.0054757016,"0","HBACK","4","F","C","2"
1.13,0.4517453799,"0","HBACK","3","M","A","1"
1.06,0.9993155373,"1","HDTOP","4","M","A","6"
1.3,0.8761122519,"0","SEDAN","3","F","B","4"
1.74,0.8186173853,"1","SEDAN","2","M","A","3"
1.86,0.5585215606,"0","HBACK","1","F","A","1"
0.36,0.4791238877,"1","HBACK","4","M","B","3"
0.91,0.5420944559,"0","SEDAN","4","M","B","4"
2.06,0.038329911,"0","UTE","3","F","C","5"
4.932,0.5366187543,"0","STNWG","1","M","E","2"
1.92,0.2108145106,"0","HBACK","1","M","D","5"
1.87,0.8049281314,"0","SEDAN","2","F","C","2"
2.05,0.8323066393,"1","STNWG","3","F","B","6"
4.73,0.7419575633,"1","STNWG","1","F","B","4"
1.92,0.2381930185,"0","HBACK","2","M","A","3"
0.79,0.2765229295,"0","TRUCK","4","M","D","5"
1.44,0.1587953457,"0","SEDAN","2","F","B","3"
7.46,0.8240930869,"1","STNWG","1","M","C","6"
3.86,0.1587953457,"1","UTE","1","F","A","4"
2.22,0.8569472964,"1","STNWG","3","F","D","2"
1.42,0.7173169062,"1","STNWG","4","F","C","4"
1.24,0.720054757,"0","STNWG","3","M","B","4"
1.36,0.8240930869,"0","STNWG","4","F","B","4"
2.67,0.9472963723,"1","SEDAN","1","F","C","2"
4.18,0.3504449008,"0","STNWG","2","M","F","3"
2.54,0.7693360712,"0","STNWG","3","M","E","2"
1.3,0.6926762491,"0","SEDAN","2","M","C","3"
2.45,0.6351813826,"0","HBACK","3","F","A","3"
0.87,0.7611225188,"1","HBACK","3","F","D","3"
0.75,0.7145790554,"0","HBACK","4","F","D","2"
1.59,0.7118412046,"1","SEDAN","3","F","E","5"
1.19,0.8980150582,"1","HBACK","2","F","E","2"
1.27,0.9965776865,"1","HBACK","1","M","C","2"
2.52,0.8268309377,"1","TRUCK","3","M","B","2"
1,0.5776865161,"1","SEDAN","3","M","C","6"
4.71,0.3093771389,"1","TRUCK","1","M","C","1"
2.45,0.7227926078,"0","UTE","3","F","E","2"
0.82,0.7227926078,"1","HBACK","4","M","A","2"
1.57,0.900752909,"1","HBACK","2","F","B","6"
2.07,0.2436687201,"0","MIBUS","4","F","E","2"
0.56,0.0054757016,"0","TRUCK","4","M","E","6"
1.84,0.9500342231,"1","HBACK","1","F","C","5"
0.71,0.2874743326,"1","HBACK","4","M","C","2"
0.6,0.8898015058,"0","SEDAN","4","F","B","3"
0.93,0.93908282,"1","HBACK","3","M","B","6"
1.46,0.9609856263,"1","PANVN","3","F","C","4"
6.14,0.7392197125,"1","SEDAN","2","M","C","3"
2.27,0.1724845996,"0","SEDAN","1","F","B","6"
2.77,0.2518822724,"0","STNWG","3","F","F","2"
1.8,0.9144421629,"1","UTE","4","M","D","4"
1.4,0.2354551677,"0","UTE","4","M","A","2"
1.8,0.1697467488,"0","SEDAN","1","M","C","5"
0.9,0.3915126626,"0","HBACK","3","F","B","2"
1.44,0.59137577,"1","UTE","3","M","C","1"
1.84,0.9993155373,"1","COUPE","3","M","B","4"
2.11,0.8021902806,"0","UTE","3","M","D","4"
0.85,0.8021902806,"0","SEDAN","4","M","C","6"
1.22,0.7775496235,"0","HBACK","3","F","A","5"
1.05,0.1505817933,"0","STNWG","4","M","F","5"
0.71,0.5201916495,"1","HBACK","4","F","B","2"
0.95,0.8021902806,"1","SEDAN","4","F","A","3"
1.08,0.4407939767,"0","SEDAN","4","M","C","6"
2.32,0.2327173169,"1","STNWG","3","F","D","3"
1.44,0.3230663929,"0","STNWG","4","M","C","6"
1.1,0.0930869268,"0","HBACK","2","F","B","1"
2.3,0.5174537988,"1","UTE","3","F","E","3"
4.43,0.7036276523,"1","STNWG","3","M","F","2"
2.62,0.8569472964,"1","STNWG","3","M","D","5"
1.33,0.1040383299,"0","HBACK","3","F","E","3"
1.55,0.7337440109,"0","STNWG","2","M","D","2"
0.5,0.6844626968,"1","SEDAN","4","F","A","2"
0.95,0.1724845996,"0","SEDAN","4","M","A","4"
1.78,0.9308692676,"1","HBACK","2","F","B","4"
1.3,0.6735112936,"1","HBACK","1","M","A","3"
1.33,0.8514715948,"0","SEDAN","3","M","C","1"
3.05,0.0410677618,"0","STNWG","1","F","C","2"
0.88,0.2792607803,"0","MIBUS","4","F","C","4"
1.18,0.8377823409,"1","TRUCK","4","M","B","5"
1.71,0.7091033539,"1","SEDAN","2","F","D","4"
1.47,0.8049281314,"0","UTE","2","M","C","5"
3.25,0.720054757,"0","SEDAN","3","F","C","5"
2.38,0.848733744,"0","STNWG","4","F","C","4"
2.17,0.4982888433,"0","STNWG","3","F","C","4"
0.73,0.3121149897,"0","SEDAN","4","F","B","4"
1.96,0.0219028063,"0","STNWG","4","F","F","2"
1.51,0.6214921287,"0","HBACK","2","F","E","1"
1.15,0.6625598905,"1","HBACK","3","M","C","3"
3.68,0.6954140999,"0","STNWG","2","M","D","2"
3.92,0.1505817933,"0","HDTOP","2","M","F","1"
1.85,0.4407939767,"0","SEDAN","3","F","D","4"
1.02,0.5174537988,"0","HBACK","3","M","B","3"
1.22,0.0301163587,"1","SEDAN","3","F","B","5"
0.74,0.0301163587,"0","HBACK","3","F","C","6"
1.24,0.34770705,"1","HBACK","3","M","C","4"
2.89,0.9828884326,"1","STNWG","3","M","E","2"
2.69,0.4161533196,"0","HDTOP","2","M","A","4"
0.65,0.2792607803,"0","COUPE","4","M","C","2"
0.84,0.7857631759,"1","SEDAN","3","M","A","4"
0.41,0.1779603012,"0","SEDAN","4","F","A","4"
1.26,0.1149897331,"0","SEDAN","3","F","C","1"
0.4,0.8596851472,"0","STNWG","4","M","A","4"
2.61,0.386036961,"1","STNWG","2","F","A","4"
1.41,0.0739219713,"0","HBACK","2","F","C","6"
1.36,0.8323066393,"1","SEDAN","3","F","B","4"
1.58,0.7775496235,"0","SEDAN","3","F","B","2"
1.2,0.1806981519,"0","UTE","4","M","D","2"
3.94,0.5393566051,"1","STNWG","2","M","C","3"
1.89,0.8980150582,"0","SEDAN","2","M","C","2"
4.1,0.2026009582,"0","STNWG","2","F","A","3"
1.6,0.2683093771,"0","SEDAN","2","M","D","5"
1.39,0.6707734428,"0","HBACK","1","F","A","4"
1.45,0.4928131417,"1","STNWG","4","M","B","4"
1.4,0.9993155373,"1","HBACK","1","M","C","3"
1.48,0.9691991786,"1","SEDAN","3","M","B","4"
0.35,0.7282683094,"0","STNWG","4","M","C","2"
0.68,0.5968514716,"1","STNWG","4","M","D","6"
5.86,0.9993155373,"0","SEDAN","3","M","A","6"
0.77,0.7529089665,"0","HBACK","3","M","C","6"
4.03,0.9801505818,"1","UTE","1","M","B","3"
1.38,0.5119780972,"0","HBACK","3","M","A","5"
2.66,0.9993155373,"1","TRUCK","3","F","C","3"
1.42,0.8624229979,"1","TRUCK","2","M","C","2"
1.67,0.3668720055,"0","STNWG","4","F","C","4"
1.89,0.2464065708,"0","STNWG","2","F","C","4"
1.46,0.8815879535,"1","UTE","3","M","D","5"
1.76,0.4900752909,"1","HBACK","2","M","B","5"
1.26,0.4709103354,"1","HBACK","2","M","B","5"
2.03,0.8459958932,"0","SEDAN","2","F","D","5"
1.15,0.7446954141,"1","SEDAN","3","M","A","4"
1.47,0.5420944559,"0","HBACK","2","F","C","6"
1.84,0.6652977413,"1","HBACK","2","F","B","6"
2.1,0.2491444216,"1","HDTOP","3","M","D","3"
0.73,0.8377823409,"0","SEDAN","4","M","D","6"
1.73,0.9637234771,"1","MIBUS","4","F","C","2"
3.31,0.5995893224,"0","TRUCK","1","F","D","3"
1.8,0.9555099247,"0","UTE","3","M","C","1"
1.56,0.9445585216,"1","STNWG","4","M","A","3"
1.97,0.7474332649,"0","UTE","3","F","E","1"
1.17,0.3778234086,"1","SEDAN","3","F","A","3"
0.9,0.3832991102,"0","HBACK","3","F","C","2"
0.54,0.5475701574,"1","HBACK","4","M","D","5"
0.44,0.6187542779,"1","STNWG","4","M","A","4"
1.92,0.5612594114,"1","SEDAN","1","M","A","1"
1.93,0.0793976728,"1","HDTOP","4","M","B","3"
1.63,0.4544832307,"1","HBACK","2","F","A","6"
0.79,0.0027378508,"0","HBACK","4","M","A","3"
1.95,0.8678986995,"1","HBACK","1","F","C","3"
1.11,0.3586584531,"0","UTE","4","M","E","2"
0.83,0.7036276523,"0","STNWG","4","M","C","1"
0.4,0.0657084189,"1","SEDAN","4","F","B","6"
4,0.9609856263,"0","STNWG","1","M","A","4"
2.23,0.4079397673,"1","STNWG","3","F","D","3"
1.28,0.3805612594,"0","UTE","4","M","B","5"
3.3,0.7967145791,"1","UTE","2","M","E","1"
1.549,0.2819986311,"1","HBACK","1","M","D","3"
2.58,0.7775496235,"0","STNWG","3","F","F","2"
2.41,0.0848733744,"0","TRUCK","2","M","D","4"
1.84,0.8405201916,"0","HBACK","1","F","A","6"
0.66,0.7775496235,"1","SEDAN","4","F","C","4"
0.49,0.7419575633,"1","HBACK","4","M","B","4"
1.99,0.5393566051,"1","SEDAN","2","M","B","2"
1.77,0.2217659138,"0","SEDAN","2","M","B","4"
1.3,0.2929500342,"0","SEDAN","3","M","A","6"
1.5,0.9308692676,"0","STNWG","4","M","D","3"
2.29,0.1451060917,"0","SEDAN","1","F","C","6"
1.35,0.2409308693,"1","SEDAN","3","F","A","5"
1.56,0.7036276523,"0","HBACK","2","F","A","2"
1.03,0.2710472279,"1","BUS","4","M","D","4"
2.62,0.1560574949,"0","TRUCK","1","M","C","4"
1.16,0.0109514031,"0","STNWG","4","M","E","6"
3.18,0.7364818617,"1","STNWG","1","F","A","5"
1.03,0.5503080082,"1","HBACK","2","F","A","4"
0.43,0.4654346338,"1","SEDAN","4","M","A","6"
2.49,0.9993155373,"1","STNWG","1","F","A","2"
1.83,0.0136892539,"0","STNWG","3","F","D","5"
2.38,0.501026694,"0","SEDAN","1","M","C","5"
3.46,0.5886379192,"0","UTE","2","M","C","2"
3.14,0.1341546886,"0","TRUCK","2","F","F","2"
0.38,0.9226557153,"0","SEDAN","4","F","C","2"
1.59,0.1533196441,"0","STNWG","4","F","D","3"
1.64,0.720054757,"0","HBACK","2","F","E","2"
1.35,0.2108145106,"0","SEDAN","3","F","B","4"
0.95,0.8268309377,"0","SEDAN","4","F","C","5"
0.58,0.2874743326,"0","COUPE","4","F","C","4"
0.62,0.2819986311,"0","TRUCK","4","F","C","3"
4.82,0.2546201232,"1","STNWG","2","F","A","4"
2.25,0.1642710472,"0","SEDAN","2","M","A","6"
1.95,0.1971252567,"0","SEDAN","2","M","A","3"
1.02,0.6543463381,"1","STNWG","4","F","B","3"
1.92,0.6160164271,"1","STNWG","4","M","A","5"
2.61,0.9609856263,"1","STNWG","3","M","D","3"
1.01,0.4791238877,"0","SEDAN","4","M","C","2"
0.62,0.128678987,"1","SEDAN","4","F","C","3"
3.29,0.0438056126,"0","STNWG","3","F","A","2"
0.89,0.5859000684,"0","SEDAN","3","F","A","4"
1.71,0.5284052019,"0","SEDAN","2","F","F","2"
3.03,0.2162902122,"0","STNWG","1","F","B","2"
1.74,0.1806981519,"0","HBACK","2","F","C","1"
0.87,0.7063655031,"0","HBACK","3","F","C","2"
1.61,0.3613963039,"1","HBACK","2","F","C","5"
0.96,0.0711841205,"0","SEDAN","3","F","B","4"
1.57,0.6762491444,"1","HBACK","3","M","A","2"
1.54,0.2518822724,"1","HBACK","1","M","A","3"
0.85,0.59137577,"1","HBACK","3","F","E","4"
1.88,0.2409308693,"0","HBACK","1","M","A","5"
1.56,0.8268309377,"1","SEDAN","1","F","A","4"
1.24,0.8815879535,"0","HBACK","2","M","D","4"
0.73,0.7145790554,"1","SEDAN","4","F","D","1"
4.349,0.4845995893,"0","UTE","1","F","C","1"
1.37,0.553045859,"1","SEDAN","3","F","A","2"
1.84,0.6105407255,"0","HBACK","2","F","D","6"
1.52,0.8624229979,"1","SEDAN","3","M","B","2"
3.81,0.1642710472,"0","UTE","1","M","A","3"
1.99,0.3148528405,"0","HBACK","1","F","A","4"
3.63,0.3668720055,"1","STNWG","2","M","C","5"
1.46,0.0985626283,"0","SEDAN","2","M","D","5"
1.43,0.1971252567,"0","SEDAN","3","M","C","5"
1.37,0.8651608487,"1","HBACK","3","F","A","2"
0.79,0.4134154689,"0","SEDAN","4","F","F","3"
0.46,0.076659822,"1","HBACK","4","F","C","4"
1.2,0.8131416838,"1","SEDAN","3","F","B","2"
1.99,0.1478439425,"0","STNWG","2","M","C","6"
1.11,0.128678987,"0","HBACK","3","F","C","2"
2.46,0.9691991786,"0","SEDAN","1","M","C","5"
3.35,0.3312799452,"1","TRUCK","2","F","F","2"
1.5,0.0164271047,"0","SEDAN","2","F","B","3"
1.21,0.3887748118,"0","HBACK","2","F","C","1"
2.86,0.4654346338,"1","SEDAN","1","F","C","1"
1.49,0.7967145791,"0","SEDAN","3","M","B","2"
0.81,0.5749486653,"0","HBACK","3","F","B","4"
1.46,0.052019165,"0","HBACK","3","F","C","1"
1.33,0.2984257358,"0","STNWG","4","M","C","1"
1.47,0.0355920602,"0","SEDAN","3","M","C","6"
2.65,0.3832991102,"1","UTE","3","F","B","3"
3.73,0.1533196441,"0","STNWG","2","M","A","5"
2.32,0.2874743326,"1","SEDAN","1","M","C","5"
1.63,0.8898015058,"0","STNWG","4","M","A","4"
1.38,0.5612594114,"0","SEDAN","3","F","C","4"
1.36,0.7967145791,"1","HBACK","2","F","A","3"
0.86,0.4955509925,"0","HBACK","3","F","B","1"
1.42,0.4818617385,"1","HBACK","2","M","C","2"
1.77,0.3148528405,"0","SEDAN","2","F","A","4"
1.21,0.1314168378,"0","SEDAN","4","F","A","4"
1.85,0.8459958932,"0","TRUCK","3","M","D","4"
1.64,0.3641341547,"1","HBACK","2","M","C","2"
2.18,0.501026694,"0","SEDAN","2","F","C","2"
2.48,0.7036276523,"0","STNWG","2","F","B","4"
0.46,0.2135523614,"1","HBACK","4","M","F","3"
4.06,0.2436687201,"0","TRUCK","1","M","A","4"
4.7,0.6187542779,"1","STNWG","1","F","F","2"
0.5,0.3531827515,"0","STNWG","4","F","B","5"
0.72,0.6379192334,"0","HBACK","4","F","A","2"
0.74,0.5284052019,"1","UTE","4","M","C","6"
2.5,0.2381930185,"1","STNWG","2","F","D","3"
1.11,0.8049281314,"1","SEDAN","3","M","A","1"
2.13,0.2299794661,"0","STNWG","3","M","D","4"
2.1,0.4900752909,"0","HDTOP","3","M","C","1"
1.98,0.3613963039,"0","SEDAN","2","F","C","3"
1.399,0.9418206708,"1","HBACK","1","F","A","3"
1.59,0.6707734428,"0","SEDAN","3","F","D","6"
3.549,0.4654346338,"1","STNWG","1","F","F","3"
1.84,0.6324435318,"0","SEDAN","2","F","C","3"
0.93,0.6652977413,"1","COUPE","4","F","C","1"
3.4,0.5503080082,"1","STNWG","2","M","D","1"
1.44,0.4736481862,"1","SEDAN","3","M","A","6"
1.89,0.3613963039,"1","UTE","2","M","A","1"
2.8,0.6324435318,"1","SEDAN","3","M","C","4"
1.69,0.1341546886,"0","SEDAN","2","M","E","6"
3.28,0.2162902122,"1","STNWG","2","F","F","1"
1.3,0.9993155373,"0","STNWG","4","F","D","6"
1.85,0.9418206708,"1","SEDAN","2","F","B","2"
5.05,0.2464065708,"1","SEDAN","1","F","D","3"
3.33,0.7446954141,"1","COUPE","2","F","C","3"
0.42,0.6160164271,"1","STNWG","4","F","C","3"
4.29,0.8624229979,"0","STNWG","2","M","A","3"
1.58,0.7227926078,"1","UTE","3","M","A","5"
2.79,0.848733744,"1","BUS","3","F","F","2"
1.05,0.9993155373,"1","SEDAN","4","F","A","4"
0.69,0.9993155373,"0","HBACK","4","F","D","3"
1.85,0.9965776865,"0","HBACK","1","M","C","3"
1.21,0.9856262834,"1","SEDAN","3","F","A","3"
1.26,0.5065023956,"1","HBACK","2","M","C","4"
1.25,0.0684462697,"0","STNWG","4","M","C","6"
4.93,0.424366872,"0","COUPE","1","F","B","5"
2.61,0.2737850787,"0","STNWG","2","F","C","3"
1.42,0.4818617385,"1","HBACK","1","F","A","4"
3.8,0.052019165,"0","TRUCK","1","F","E","4"
2.01,0.9664613279,"1","STNWG","2","M","C","1"
2.13,0.8131416838,"1","STNWG","2","F","A","1"
0.9,0.1341546886,"0","SEDAN","3","F","C","4"
3.76,0.3778234086,"0","STNWG","3","F","D","2"
1.1,0.7830253251,"1","HBACK","3","M","B","6"
2.1,0.0574948665,"0","SEDAN","3","M","B","4"
0.65,0.424366872,"0","SEDAN","4","F","D","6"
1.64,0.4709103354,"1","STNWG","4","F","C","2"
1.01,0.3394934976,"0","SEDAN","3","M","A","2"
0.71,0.7446954141,"0","UTE","4","F","A","3"
1.41,0.9993155373,"0","SEDAN","2","M","E","6"
2.75,0.4161533196,"1","SEDAN","1","F","C","3"
2.72,0.6680355921,"1","STNWG","2","F","A","4"
1.67,0.6680355921,"0","SEDAN","3","F","C","2"
4.38,0.3504449008,"0","STNWG","2","M","B","5"
1.835,0.6598220397,"1","HBACK","1","F","D","2"
1.8,0.9965776865,"0","SEDAN","3","M","B","3"
1.31,0.3969883641,"0","SEDAN","3","M","C","2"
0.75,0.0355920602,"0","SEDAN","4","F","C","2"
1.52,0.8788501027,"1","SEDAN","2","M","A","2"
1.85,0.9226557153,"0","STNWG","3","M","E","4"
3.162,0.9664613279,"1","UTE","1","M","B","5"
2.58,0.7145790554,"1","SEDAN","1","M","B","6"
1.97,0.0629705681,"1","SEDAN","1","F","C","3"
0.95,0.6981519507,"0","SEDAN","4","F","B","5"
1.91,0.4435318275,"1","STNWG","4","M","C","4"
1.48,0.5174537988,"1","SEDAN","3","M","B","5"
1.34,0.6543463381,"0","SEDAN","2","F","C","3"
3.33,0.7364818617,"1","TRUCK","3","M","C","3"
0.8,0.4490075291,"0","HBACK","4","F","B","6"
1.4,0.9418206708,"0","SEDAN","3","F","E","4"
3.72,0.0848733744,"1","STNWG","2","M","F","2"
2.55,0.8569472964,"1","SEDAN","1","F","D","4"
1.75,0.052019165,"0","HBACK","1","F","B","4"
1.19,0.8131416838,"1","HBACK","2","F","C","4"
2.01,0.6789869952,"0","HBACK","1","M","A","2"
1.13,0.6132785763,"0","HBACK","3","F","A","5"
2.12,0.334017796,"0","HBACK","2","F","C","3"
3.85,0.1916495551,"0","STNWG","1","M","E","2"
2.75,0.3449691992,"1","SEDAN","1","F","A","4"
0.48,0.6351813826,"0","SEDAN","4","F","B","2"
1.71,0.2819986311,"1","SEDAN","2","F","A","4"
1.54,0.6652977413,"1","SEDAN","3","M","B","2"
2.15,0.8843258042,"1","SEDAN","1","F","C","3"
16.98,0.3175906913,"0","SEDAN","1","M","C","5"
3.15,0.4736481862,"0","SEDAN","1","F","D","5"
0.9,0.2683093771,"0","HBACK","3","F","B","3"
1.79,0.6488706365,"1","UTE","4","F","E","3"
2.83,0.4955509925,"0","TRUCK","3","F","A","2"
